category_id,parent_id,name,breadcrumb
6406655,0,Beauty & Gesundheit,Beauty & Gesundheit
6407178,6406655,Enthaarung & Rasur,Beauty & Gesundheit > Enthaarung & Rasur
6407179,6407178,Rasierer & Rasierklingen,Beauty & Gesundheit > Enthaarung & Rasur > Rasierer & Rasierklingen
6407180,6407179,Herren Rasierklingen,Beauty & Gesundheit > Enthaarung & Rasur > Rasierer & Rasierklingen > Herren Rasierklingen
6406657,6406655,Haarpflege & Haarstyling,Beauty & Gesundheit > Haarpflege & Haarstyling
6406658,6406655,Hautpflege,Beauty & Gesundheit > Hautpflege
6406795,6406658,Anti-Faltenprodukte,Beauty & Gesundheit > Hautpflege > Anti-Faltenprodukte
6406796,6406658,Gesichtspflegegeräte,Beauty & Gesundheit > Hautpflege > Gesichtspflegegeräte
6407181,6406658,Körperpflege,Beauty & Gesundheit > Hautpflege > Körperpflege
6407182,6407181,Körpercremes & -lotionen,Beauty & Gesundheit > Hautpflege > Körperpflege > Körpercremes & -lotionen
6406659,6406655,Hilfsmittel,Beauty & Gesundheit > Hilfsmittel
6407183,6406659,Alltagshilfen,Beauty & Gesundheit > Hilfsmittel > Alltagshilfen
6407184,6407183,Inkontinenzhilfen,Beauty & Gesundheit > Hilfsmittel > Alltagshilfen > Inkontinenzhilfen
6407185,6406659,Mobilitäts- & Gehhilfen,Beauty & Gesundheit > Hilfsmittel > Mobilitäts- & Gehhilfen
6407187,6407185,Rollstühle,Beauty & Gesundheit > Hilfsmittel > Mobilitäts- & Gehhilfen > Rollstühle
6406660,6406655,Körperpflege,Beauty & Gesundheit > Körperpflege
6406797,6406655,Medikamente von Apothekern,Beauty & Gesundheit > Medikamente von Apothekern
6406798,6406797,Tiergesundheit,Beauty & Gesundheit > Medikamente von Apothekern > Tiergesundheit
6406799,6406655,Parfums,Beauty & Gesundheit > Parfums
6406800,6406799,Herren,Beauty & Gesundheit > Parfums > Herren
6406661,6406655,Pflege- & Medizinischer Bedarf,Beauty & Gesundheit > Pflege- & Medizinischer Bedarf
6407188,6406661,Kälte- & Wärmetherapie,Beauty & Gesundheit > Pflege- & Medizinischer Bedarf > Kälte- & Wärmetherapie
6407189,6407188,Infrarot- & Wärmegeräte,Beauty & Gesundheit > Pflege- & Medizinischer Bedarf > Kälte- & Wärmetherapie > Infrarot- & Wärmegeräte
6407190,6406655,Tattoo & Body Art,Beauty & Gesundheit > Tattoo & Body Art
6407191,6407190,Tattoo-Zubehör,Beauty & Gesundheit > Tattoo & Body Art > Tattoo-Zubehör
6407192,6407191,Tattoo-Armlehnen & -Ständer,Beauty & Gesundheit > Tattoo & Body Art > Tattoo-Zubehör > Tattoo-Armlehnen & -Ständer
6406662,0,Bekleidung,Bekleidung
6406801,0,Bekleidung & Accessoires,Bekleidung & Accessoires
6407193,6406801,Damenmode,Bekleidung & Accessoires > Damenmode
6407194,6407193,Unterwäsche & Nachtwäsche,Bekleidung & Accessoires > Damenmode > Unterwäsche & Nachtwäsche
6407195,6407194,Slips,Bekleidung & Accessoires > Damenmode > Unterwäsche & Nachtwäsche > Slips
6406802,6406801,Herren,Bekleidung & Accessoires > Herren
6406803,6406802,Socken,Bekleidung & Accessoires > Herren > Socken
6406804,6406662,Damen,Bekleidung > Damen
