category_id;breadcrumb;count
260966;Kleidung & Accessoires > Kinder > Jungen > Mode für Jungen > T-Shirts, Polos & Hemden;1
155200;Kleidung & Accessoires > Kinder > Unisex für Kinder > Unisex-Mode > Kapuzenpullover & Sweatshirts;1
179321;Kleidung & Accessoires > Spezielle Anlässe > Erotik > Kostüme für Damen;1
90635;Kleidung & Accessoires > Spezielle Anlässe > Kostüme & Verkleidungen > Kostüme > Baby- & Kleinkinderkostüme;1
14070;Kleidung & Accessoires > Spezielle Anlässe > Vintage-Mode > Vintage-Accessoires > Krawatten, -schals & Fliegen;1
175774;Kleidung & Accessoires > Spezielle Anlässe > Vintage-Mode > Vintage-Mode für Herren > Pullover & Strickjacken;1
27653;Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Werkzeuge > Elektrowerkzeuge;1
19839;Modellbau > RC-Modellbau > RC Modellbau Teile & Zubehör > Fernsteuerung & Elektronik;1
41456;Musikinstrumente > Drums & Percussion > Ersatzteile > Sticks, Besen & Schlägel;1
33034;Musikinstrumente > Gitarren & Bässe > E-Gitarren;1
22670;Musikinstrumente > Gitarren & Bässe > Zubehör > Teile > Pickups;1
133696;Möbel & Wohnen > Badezimmer > Badezimmerzubehör > Badvorleger, Teppiche & Toilettensitzabdeckungen;1
20442;Möbel & Wohnen > Badezimmer > Badezimmerzubehör > Handtuchhalter;1
66722;Möbel & Wohnen > Badezimmer > Dusch- & Badewannenzubehör > Anti-Rutsch-Lösungen;1
20697;Möbel & Wohnen > Beleuchtung;1
20444;Möbel & Wohnen > Bettwaren, -wäsche & Matratzen;1
20445;Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Kopfkissen & Körperkissen;1
36025;Möbel & Wohnen > Dekoration > Figuren, Skulpturen & Statuen;1
33156;Möbel & Wohnen > Hochzeitsdekoration > Gastgeschenke;1
259327;Möbel & Wohnen > Kindermöbel & Wohnen > Badzubehör & -textilien;1
177054;Möbel & Wohnen > Kindermöbel & Wohnen > Kochen & Essen > Schüsseln & Teller;1
20625;Möbel & Wohnen > Kochen & Genießen;1
45503;Möbel & Wohnen > Kochen & Genießen > Gedeckter Tisch > Servierplatten & -schalen;1
20660;Möbel & Wohnen > Kochen & Genießen > Gedeckter Tisch > Tischsets;1
20696;Möbel & Wohnen > Kochen & Genießen > Gläser & Glaswaren;1
177008;Möbel & Wohnen > Kochen & Genießen > Küchenhelfer > Gewürzmühlen & -streuer;1
25845;Möbel & Wohnen > Kochen & Genießen > Wasseraufbereitung & Trinkwassersprudler > Trinkwassersprudler;1
54145;Möbel & Wohnen > Kochen & Genießen > Wasseraufbereitung & Trinkwassersprudler > Wasserfilter-Kartuschen;1
77508;Möbel & Wohnen > Möbel > Betten > Lattenroste;1
3199;Möbel & Wohnen > Möbel > Regale & Aufbewahrung;1
8012;Münzen > Historische Wertpapiere > USA & Kanada > Elektronik & Computer;1
46036;Reisen > Reiseaccessoires > Regenschirme;1
11236;Reisen > Reisekoffer & -taschen > Reisekoffer & Trolleys;1
13518;Sammeln & Seltenes > Rollenspiele & Tabletops > Kartenspiele;1
183462;Sammeln & Seltenes > Sammelkartenspiele/TCGs > TCG Zubehör > TCG Deck-Boxen, Blechdosen & Kartentrenner;1
11731;Spielzeug > Lernspielzeug;1
25959;Spielzeug > Musik & Instrumente > Trommeln & Co.;1
