id,productId,inventoryId,status,message,createdAt
nM9zdQ2ThAKIuGUnuW0V,010095498867,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765746025,""_nanoseconds"":753000000}"
nMHGJzVEe0akG2z5Cq4X,SKU-2804135383,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766084199,""_nanoseconds"":753000000}"
nMikgOSNK1t3PsqDAu7t,bbb77d85-7a8f-40b4-a3e2-e8ea469fe7cb,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765759699,""_nanoseconds"":927000000}"
nNl7H9bEYYwfInhFaqBO,4019336589644,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765747894,""_nanoseconds"":671000000}"
nNvF3AKEVgiU9AFyekzT,4523e3f3-ba12-4d17-a2af-26af72a8a36e,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 13:20:09","{""_seconds"":1765455201,""_nanoseconds"":345000000}"
nRNM9XLuA7uw9M4qXy64,0002592484122,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765723714,""_nanoseconds"":443000000}"
nRRQPQK9FMmfYaDQBEdY,4067897661963,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765734115,""_nanoseconds"":233000000}"
nSO8107q6xG2eRi69mvJ,038473870772,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765753644,""_nanoseconds"":510000000}"
nUlxBsNREApgGDRbsySq,02591620,85403,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492469,""_nanoseconds"":394000000}"
nXcW8ftgOve9kiu9zHCo,beliani-side-table-28049-image-1,85403,failed,"ENOENT: no such file or directory, open '/app/ebay/DE_New_Structure_(May2023).csv'","{""_seconds"":1765491966,""_nanoseconds"":176000000}"
nbnXdNBKOGtW97KAsmrN,topeak-tc2333b,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765044830,""_nanoseconds"":280000000}"
nd1KvGTgXQblQ2k1rOUj,56cdbf05-ce59-43c9-be15-6cc63c6dae93,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766229160,""_nanoseconds"":389000000}"
ndtW0Nc7SzbubpDxSFfm,SKU-7892887285,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765936897,""_nanoseconds"":916000000}"
neq09Egz8Nw1YPYA0P4S,9783982023113,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-10 10:34:55","{""_seconds"":1765358953,""_nanoseconds"":803000000}"
neySLrSMGG6zj0k66LFS,CALI13A,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765755784,""_nanoseconds"":176000000}"
nflfyx91VjxeANG54d9h,4523e3f3-ba12-4d17-a2af-26af72a8a36e,85404,failed,"ENOENT: no such file or directory, open '/app/kaufland/category_tree_int_all_languages - 📕 category_tree_all_languages.csv'","{""_seconds"":1765478366,""_nanoseconds"":52000000}"
ng8FmsMReMXQsKJYtC0Z,9014400293437,84529,success,Successfully synced to BaseLinker,"{""_seconds"":1765050885,""_nanoseconds"":791000000}"
nqPERcCl4fWTXXjoGCGD,SKU-2123165909,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766082332,""_nanoseconds"":759000000}"
ntQ4ca3Y3jtIpz14eQXK,SKU-4304000683,78659,failed,BaseLinker request failed after retries,"{""_seconds"":1766085346,""_nanoseconds"":60000000}"
nttyOq9a4qut0ad47riB,TANTOMI-ROLLTOP-36x48,85404,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492245,""_nanoseconds"":227000000}"
nv7RAK9eHu2PAMmgQh00,SKU-0152828115,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766335674,""_nanoseconds"":454000000}"
o1rscGNn9SST0dRRzqaD,9783845118116,85404,failed,"ENOENT: no such file or directory, open '/app/kaufland/category_tree_all_languages.csv'","{""_seconds"":1765491945,""_nanoseconds"":823000000}"
o7N6Dlp5xZfW1c3c3Rb8,SKU-1825816304,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766338248,""_nanoseconds"":904000000}"
oAHAUH7BMwUHIAdjnsYd,9783417288889,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 13:20:09","{""_seconds"":1765455084,""_nanoseconds"":547000000}"
oCErcMjROOCR4QHYhyqF,010095498867,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765713228,""_nanoseconds"":10000000}"
oCb3eGEWocGm9PZCBny1,1472920275814,78659,failed,BaseLinker request failed after retries,"{""_seconds"":1766518636,""_nanoseconds"":97000000}"
oF7PWM3jduXQ2NfEi0NQ,X00173R33T,84529,success,Successfully synced to BaseLinker,"{""_seconds"":1765358666,""_nanoseconds"":632000000}"
oHWg8jUssHhYc26QNDKh,4030913982243,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765733294,""_nanoseconds"":316000000}"
oHhAQM9YOBvl5vPsxBiM,726121ea-fdad-41e5-859d-0e9e1b9c50b1,85403,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492452,""_nanoseconds"":829000000}"
oLbAIAPc4M39rD7ltG8f,4066755796946,84529,success,Successfully synced to BaseLinker,"{""_seconds"":1765401082,""_nanoseconds"":764000000}"
oNxb8KrzEr7nOLnyO5GN,4002541666529,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765747430,""_nanoseconds"":947000000}"
oP8NDkDnAbZOwtApgSBg,SKU-8380347833,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765931590,""_nanoseconds"":689000000}"
oQhFS7HFjJK6FfBWQBw4,4067904610731,84529,success,Successfully synced to BaseLinker,"{""_seconds"":1765358629,""_nanoseconds"":223000000}"
oSUdGS79NwvpvPccs0N5,4023103244009,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766346015,""_nanoseconds"":832000000}"
oSXYC04T9cpgHDzARTpX,d26c1381-e411-4bd2-a9fd-fdd8e408a28a,78659,failed,BaseLinker request failed after retries,"{""_seconds"":1766342317,""_nanoseconds"":9000000}"
oSq9v9VldLSNWzUI0rWN,4067983746314,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-10 10:34:55","{""_seconds"":1765358870,""_nanoseconds"":656000000}"
oTCQ4OG1KARlPwily4y3,4007386251480,78659,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 02:02:15","{""_seconds"":1765414612,""_nanoseconds"":425000000}"
oTJVu65VMe2bGD7LsQ8y,9014400105341,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765759262,""_nanoseconds"":564000000}"
oWBR1Kg9RBXgcmcjEjcv,4019336589644,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765715174,""_nanoseconds"":962000000}"
oWzl0K366r4cT34Ul7ya,X00173R33T,84529,success,Successfully synced to BaseLinker,"{""_seconds"":1765045585,""_nanoseconds"":458000000}"
oY6n6BE0bhmIiZfHTBcu,8718309101547,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 13:20:09","{""_seconds"":1765455051,""_nanoseconds"":13000000}"
oeCUTA4k4xJ3frfQTIJP,4260532291215,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765734858,""_nanoseconds"":823000000}"
olgPmKPEE7oSJqRMnpPh,9014400035983,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765755758,""_nanoseconds"":711000000}"
