id,ean,productId,updated_at,baseProductId,sku
ean:4260590714022,4260590714022,SKU-1483282001,2025-12-21T17:27:07.964Z,465027644,SKU-1483282001
ean:4262403770898,4262403770898,315ecb79-6893-4245-8804-265ddd68e97f,2025-12-14T23:23:40.081Z,458453056,SKU-4008377248
ean:4262405220148,4262405220148,4262405220148,2025-12-21T19:42:25.557Z,465274669,SKU-2431535372
ean:4262448172770,4262448172770,SKU-4488972962,2025-12-21T17:42:05.511Z,465100094,SKU-4488972962
ean:4270003189819,4270003189819,gusskoenig-gk-002,2025-12-02T23:41:53.319Z,449826442,SKU-7476728171
ean:4270004188707,4270004188707,SKU-4949389854,2025-12-21T17:27:53.027Z,465069064,SKU-4949389854
ean:4549292136302,4549292136302,SKU-7892887285,2025-12-17T02:01:37.726Z,458519090,SKU-7892887285
ean:4710069708958,4710069708958,4710069708958,2025-12-15T00:08:54.422Z,449821152,SKU-3588671475
ean:4711377100953,4711377100953,4711377100953,2025-12-14T23:38:18.012Z,458461774,SKU-5869700759
ean:4895217904977,4895217904977,SKU-4434702791,2025-12-21T17:34:46.994Z,465085102,SKU-4434702791
ean:4915224685061,4915224685061,SKU-4541378818,2025-12-21T17:31:43.272Z,462181513,SKU-4541378818
ean:4960999628639,4960999628639,18c83b9d-eb7b-478b-a5de-388c2f9aa63c,2025-12-14T23:23:39.532Z,458453032,SKU-6099130668
ean:5060826162363,5060826162363,SKU-8835594725,2025-12-16T23:52:05.363Z,458464475,SKU-8835594725
ean:5060941713129,5060941713129,5060941713129,2025-12-21T19:43:29.374Z,465275945,SKU-1031821522
ean:5100002115,5100002115,SKU-6346907299,2025-12-18T20:49:14.439Z,462245531,SKU-6346907299
ean:5713917008889,5713917008889,SKU-9671499764,2025-12-21T17:48:20.995Z,449823978,SKU-9671499764
ean:5900495862228,5900495862228,5900495862228,2025-12-15T00:02:19.871Z,449824232,SKU-8747609895
ean:5900811829102,5900811829102,5900811829102,2025-12-21T19:43:29.637Z,465275951,SKU-8404970287
ean:5903771709217,5903771709217,2b55a51a-0d21-4136-9fa4-89ca66c74a72,2025-12-14T23:15:17.069Z,458453039,SKU-4264334297
ean:613192999,613192999,B0CKPF47RG,2025-12-14T22:54:12.939Z,458477722,SKU-7721659409
ean:6431619024,6431619024,6431619024,2025-12-15T00:33:19.672Z,458514311,SKU-3963918245
ean:6440891157249,6440891157249,SKU-2123165909,2025-12-21T17:37:19.887Z,462109943,SKU-2123165909
ean:6922738000364,6922738000364,6922738000364,2025-12-21T21:52:18.250Z,464302815,SKU-9041995991
ean:6931915757670,6931915757670,SKU-4118229261,2025-12-21T17:40:50.837Z,465097988,SKU-4118229261
ean:6954850111741,6954850111741,6954850111741,2025-12-21T21:52:18.281Z,464303135,SKU-0735099796
ean:6956079723620,6956079723620,6956079723620,2025-12-02T23:04:12.481Z,449816034,SKU-9458628509
ean:6972200196132,6972200196132,SKU-3046032177,2025-12-17T02:51:39.037Z,449825443,SKU-3046032177
ean:6974100521360,6974100521360,SKU-6346907299,2025-12-21T17:32:04.425Z,462245531,SKU-6346907299
ean:7290006780805,7290006780805,7290006780805,2025-12-21T19:44:34.415Z,465277230,SKU-9905416565
ean:7290116742380,7290116742380,7290116742380,2025-12-21T19:44:34.426Z,465277231,SKU-0225495136
ean:753759223137,753759223137,SKU-8689351772,2025-12-16T23:23:39.517Z,458496970,SKU-8689351772
ean:7611916163227,7611916163227,7611916163227,2025-12-21T19:44:34.464Z,465277232,SKU-1703368789
ean:7760105020849,7760105020849,SKU-8249181407,2025-12-21T19:48:35.467Z,462182183,SKU-8249181407
ean:8052694010041,8052694010041,8052694010041,2025-12-21T19:45:38.977Z,465278478,SKU-2801069572
ean:8445110446065,8445110446065,SKU-8112287411,2025-12-16T23:34:58.138Z,458468605,SKU-8112287411
ean:8445866051810,8445866051810,SKU-9988960743,2025-12-17T09:50:48.135Z,458468907,SKU-9988960743
