id,sku,last_saved_source,issues,title_len,desc_len,features,attrs,category
5702017153599,SKU-9272258811,script-condition-normalize,description_too_short,77,255,7,17,Baby > Spielzeug > Badespielzeug
5702017567501,SKU-9904325113,script-condition-normalize,description_missing,80,0,7,15,Spielzeug > Bausets & Konstruktion > LEGO (R) Konstruktionsspielzeuge > LEGO (R) Komplette Sets & Packs
5713487061277,SKU-1466301102,category-review-csv,description_missing,78,0,7,26,Möbel & Wohnen > Dekoration > Deko-Accessoires
5715335047020,SKU-8921872481,category-review-csv,description_too_short,78,184,5,8,Spielzeug > Musik & Instrumente > Trommeln & Co.
578c3341-658b-46d1-b419-b4ce60b534a5,SKU-9688561402,ui,description_missing,76,0,6,19,"Heimwerker > Heizen, Klima & Sanitär > Wasser > Ventile"
5820082016105,SKU-5753016417,barcode-rollback,description_missing,74,0,6,22,"Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung > Fußmatten, Teppiche & Laderaumwannen"
60539f7f-f556-4103-bc2c-cc17f5a455c3,SKU-6274769815,ui,description_too_short,79,172,7,12,"Computer, Tablets & Netzwerk > Kabel & Steckverbinder > Netzwerkkabel & Adapter > Splitter, Koppler & Adapter"
61cb13b8-ef09-4959-821e-c2d63fcd8038,SKU-9014992269,category-review-csv,description_too_short|highlights_too_few,78,173,4,21,Sport > Radsport > Fahrradzubehör > Beleuchtung & Reflektoren
6941057422886,SKU-6216530722,ui,description_too_short,74,194,6,16,Sport > Camping & Outdoor > Outdoor Schlafausrüstung > Luftmatratzen & Isomatten
6957303824717,SKU-9003235487,category-review-csv,description_too_short,80,229,6,15,"Computer, Tablets & Netzwerk > Notebook- & Desktop-Zubehör > Ständer, Halter & Autohalterungen"
7212913647233,SKU-3606468262,ui,description_too_short,75,199,5,23,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben
7649988997723,SKU-3130743576,ui,description_missing,78,0,7,12,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer
7b442083-e5d5-43c0-92ef-76c6432fe919,SKU-5120624450,unknown,description_missing,77,0,6,23,Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung
8004815313234,SKU-1316800430,category-review-csv,description_too_short,77,240,6,12,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Stützen & Keile
8052694010041,SKU-2801069572,unknown,attributes_too_few,78,774,6,2,Büro & Schreibwaren > Schulbedarf
8088208802015,SKU-6543182729,category-review-csv,description_too_short,79,213,6,14,"Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettlaken"
