category_id,breadcrumb
6559014,Computer > Firmennetzwerke & Server > Switches & Hubs > Switch-Module
6559015,Computer > Firmennetzwerke & Server > Switches & Hubs > Switch-Netzteile
6552492,Computer > Firmennetzwerke & Server > Teile & Zubehör
6559016,Computer > Firmennetzwerke & Server > Teile & Zubehör > Sonstige
6552493,Computer > Firmennetzwerke & Server > VoIP-Business-Telefone
6551205,Computer > Handbücher & Anleitungen
6552494,Computer > Handbücher & Anleitungen > Sonstige
6551206,Computer > Heimnetzwerke & Zubehör
6552495,Computer > Heimnetzwerke & Zubehör > Drahtlose Router
6552496,Computer > Heimnetzwerke & Zubehör > Kabelgebundene Router
6552497,Computer > Heimnetzwerke & Zubehör > Mobile Breitbandgeräte
6552498,Computer > Heimnetzwerke & Zubehör > Modem-Router-Kombinationen
6552499,Computer > Heimnetzwerke & Zubehör > Modems
6552500,Computer > Heimnetzwerke & Zubehör > PowerLAN-Netzwerke
6552501,"Computer > Heimnetzwerke & Zubehör > Repeater, Extender & Antennen"
6552502,Computer > Heimnetzwerke & Zubehör > Sonstige
6552503,Computer > Heimnetzwerke & Zubehör > USB-Bluetooth-Adapter/-Dongles
6552504,Computer > Heimnetzwerke & Zubehör > USB-WLAN-Adapter/-Dongles
6552505,Computer > Heimnetzwerke & Zubehör > VoIP-Heimtelefone
6552506,Computer > Heimnetzwerke & Zubehör > VoIP-Telefonadapter
6552507,Computer > Heimnetzwerke & Zubehör > Wireless Access Points
6551207,Computer > Kabel & Steckverbinder
6552508,Computer > Kabel & Steckverbinder > Audiokabel & -Adapter
6552509,Computer > Kabel & Steckverbinder > Festplattenkabel & -Adapter
6552510,Computer > Kabel & Steckverbinder > FireWire-Kabel & -Adapter
6552511,Computer > Kabel & Steckverbinder > Kabelbinder & Kabelmanager
6552512,Computer > Kabel & Steckverbinder > Kabeltester
6552513,Computer > Kabel & Steckverbinder > Kabelwerkzeuge
6552514,Computer > Kabel & Steckverbinder > KVM-Kabel
6552515,Computer > Kabel & Steckverbinder > KVM-Switches
6552516,Computer > Kabel & Steckverbinder > Monitor-/AV-Kabel & -Adapter
