id;auftrag_id;marktplatz;status;grund;erstattung;erstellt_am;aktualisiert_am
ebay__08-14500-48749;ebay__08-14500-48749;ebay;eingegangen;meinungsaenderung;9,26;2026-04-13T14:15:32.000Z;
ebay__08-14511-59037;ebay__08-14511-59037;ebay;eingegangen;meinungsaenderung;123,00;2026-04-15T20:19:26.000Z;
ebay__09-14561-34543;ebay__09-14561-34543;ebay;eingegangen;meinungsaenderung;22,50;2026-04-27T12:11:45.000Z;
ebay__09-14699-32409;ebay__09-14699-32409;ebay;eingegangen;meinungsaenderung;28,06;2026-05-28T20:49:48.000Z;
ebay__10-14627-24215;ebay__10-14627-24215;ebay;eingegangen;meinungsaenderung;5,00;2026-05-12T12:55:19.000Z;
ebay__12-14574-41305;ebay__12-14574-41305;ebay;eingegangen;meinungsaenderung;19,99;2026-05-01T07:04:12.000Z;
ebay__12-14574-53858;ebay__12-14574-53858;ebay;eingegangen;meinungsaenderung;59,00;2026-05-01T08:11:34.000Z;
ebay__13-14456-82477;ebay__13-14456-82477;ebay;eingegangen;meinungsaenderung;135,00;2026-04-05T12:45:24.000Z;
ebay__13-14462-14152;ebay__13-14462-14152;ebay;eingegangen;meinungsaenderung;113,16;2026-04-06T15:26:16.000Z;
ebay__13-14686-13071;ebay__13-14686-13071;ebay;eingegangen;meinungsaenderung;135,39;2026-05-27T07:05:36.000Z;
ebay__13-14730-41460;ebay__13-14730-41460;ebay;eingegangen;meinungsaenderung;119,98;2026-06-06T12:41:24.000Z;
